YEAR,MONTH,DAY,VALUE
1985,11,12,0.925
1985,11,13,1.070
1985,11,14,1.146
1985,11,15,1.093
1985,11,16,0.808
1985,11,17,1.178
1985,11,18,1.219
1985,11,19,0.779
1985,11,20,0.201
1985,11,21,-0.079
1985,11,22,-0.048
1985,11,23,-0.344
1985,11,24,-1.070
1985,11,25,-1.800
1985,11,26,-2.047
1985,11,27,-1.649
1985,11,28,-1.078
1985,11,29,-0.803
1985,11,30,-0.733
1985,12,1,-0.340
1985,12,2,0.293
1985,12,3,0.727
1985,12,4,0.857
1985,12,5,0.709
1985,12,6,0.619
1985,12,7,0.558
1985,12,8,0.278
1985,12,9,0.224
1985,12,10,0.252
1985,12,11,0.221
1985,12,12,-0.021
1985,12,13,-0.183
1985,12,14,-0.429
1985,12,15,-0.537
1985,12,16,-0.612
1985,12,17,-0.274
1985,12,18,0.004
1985,12,19,0.338
1985,12,20,0.664
1985,12,21,0.683
1985,12,22,0.436
1985,12,23,0.046
1985,12,24,-0.216
1985,12,25,-0.426
1985,12,26,-0.629
1985,12,27,-0.622
1985,12,28,-0.234
1985,12,29,-0.072
1985,12,30,-0.065
1985,12,31,-0.149
1986,1,1,-0.458
1986,1,2,-0.428
1986,1,3,-0.116
1986,1,4,0.062
1986,1,5,-0.154
1986,1,6,-0.529
1986,1,7,-0.590
1986,1,8,-0.088
1986,1,9,0.274
1986,1,10,0.598
1986,1,11,0.733
1986,1,12,0.866
1986,1,13,0.884
1986,1,14,0.360
1986,1,15,0.267
1986,1,16,0.696
1986,1,17,1.101
1986,1,18,1.245
1986,1,19,1.203
1986,1,20,1.101
1986,1,21,0.925
1986,1,22,0.998
1986,1,23,0.953
1986,1,24,0.825
1986,1,25,0.798
1986,1,26,0.800
1986,1,27,0.766
1986,1,28,0.771
1986,1,29,0.941
1986,1,30,1.120
1986,1,31,0.830
1986,2,1,0.467
1986,2,2,0.332
1986,2,3,-0.078
1986,2,4,-0.675
1986,2,5,-0.668
1986,2,6,-0.721
1986,2,7,-0.958
1986,2,8,-1.111
1986,2,9,-0.935
1986,2,10,-0.621
1986,2,11,-0.278
1986,2,12,0.206
1986,2,13,0.463
1986,2,14,0.412
1986,2,15,0.225
1986,2,16,0.038
1986,2,17,-0.030
1986,2,18,-0.065
1986,2,19,-0.212
1986,2,20,-0.352
1986,2,21,-0.451
1986,2,22,-0.440
1986,2,23,-0.335
1986,2,24,-0.328
1986,2,25,-0.494
1986,2,26,-0.803
1986,2,27,-0.970
1986,2,28,-0.866
1986,3,1,-0.631
1986,3,2,-0.118
1986,3,3,0.406
1986,3,4,0.949
1986,3,5,1.235
1986,3,6,1.280
1986,3,7,1.123
1986,3,8,0.890
1986,3,9,0.755
1986,3,10,0.839
1986,3,11,0.896
1986,3,12,0.748
1986,3,13,0.680
1986,3,14,0.851
1986,3,15,0.864
1986,3,16,0.807
1986,3,17,0.697
1986,3,18,0.632
1986,3,19,0.859
1986,3,20,1.408
1986,3,21,1.839
1986,3,22,2.212
1986,3,23,2.278
1986,3,24,1.924
1986,3,25,1.758
1986,3,26,1.656
1986,3,27,1.586
1986,3,28,1.410
1986,3,29,1.136
1986,3,30,0.971
1986,3,31,0.776
1986,4,1,0.746
1986,4,2,0.554
1986,4,3,0.344
1986,4,4,0.238
1986,4,5,-0.023
1986,4,6,-0.160
1986,4,7,-0.450
1986,4,8,-0.791
